awg,area,diameter,r_25c,r_65c,weight
0000 (4/0),212000,460,0.05,0.057,641
000 (3/0),168000,410,0.063,0.073,508
00 (2/0),133000,365,0.0795,0.092,403
0 (1/0),106000,325,0.1,0.116,319
2,66400,258,0.159,0.184,201
4,41700,204,0.253,0.292,126
6,26300,162,0.403,0.465,79.5
8,16500,128,0.641,0.739,50
10,10400,102,1.02,1.18,31.4
12,6530,81,1.62,1.87,19.8
14,4110,64,2.58,2.97,12.4
16,2580,51,4.09,4.73,7.82
18,1620,40,6.51,7.51,4.92
20,1020,32,10.4,11.9,3.09
22,642,25.3,16.5,19,1.94
24,404,20.1,26.2,30.2,1.22
26,254,15.9,41.6,48,0.769
28,160,12.6,66.2,76.4,0.484
30,101,10,105,121,0.304
32,63.2,8,167,193,0.191
34,39.8,6.3,266,307,0.12
36,25,5,423,488,0.076
38,15.7,4,673,776,0.048
40,9.9,3.1,1070,1230,0.02
